date,open,high,low,close,adjclose,volume
2018-08-31,257.5,259.0,254.0,256.0,237.38,69069506.0
2018-09-03,259.0,260.0,256.5,257.0,238.31,26720905.0
2018-09-04,258.5,259.5,255.5,257.5,238.77,34304615.0
2018-09-05,260.0,264.5,259.0,264.0,244.8,44864459.0
2018-09-06,268.0,268.0,261.0,261.0,242.01,35698488.0
2018-09-07,263.0,264.0,260.5,264.0,244.8,38663728.0
2018-09-10,266.5,266.5,262.5,264.5,245.26,41659795.0
2018-09-11,263.0,263.5,258.0,260.0,241.09,34350276.0
2018-09-12,261.0,262.0,258.0,260.5,241.55,37885965.0
2018-09-13,260.0,260.0,253.5,255.0,236.45,37576180.0
2018-09-14,257.0,261.5,257.0,261.0,242.01,37903219.0
2018-09-17,262.5,262.5,257.0,258.0,239.23,24765758.0
2018-09-18,256.5,257.0,254.0,254.5,235.99,33960152.0
2018-09-19,258.0,260.0,257.0,258.0,239.23,59227711.0
2018-09-20,261.5,261.5,257.5,260.0,241.09,29649071.0
2018-09-21,261.5,261.5,258.0,261.5,242.48,35012974.0
2018-09-25,261.5,264.0,260.5,263.5,244.33,24397062.0
2018-09-26,263.0,263.5,261.0,263.5,244.33,24859115.0
2018-09-27,264.0,266.0,262.0,265.0,245.72,38495371.0
2018-09-28,266.0,266.0,260.0,262.5,243.41,39626486.0
2018-10-01,262.0,264.0,261.0,263.0,243.87,22254380.0
2018-10-02,262.0,263.0,257.0,257.5,238.77,38391491.0
2018-10-03,257.5,260.0,257.0,260.0,241.09,25228536.0
2018-10-04,257.0,257.5,254.0,254.0,235.52,36408727.0
2018-10-05,250.0,253.0,248.5,250.0,231.81,40204660.0
2018-10-08,245.5,246.5,241.0,243.5,225.79,50876958.0
2018-10-09,243.5,245.0,242.0,244.0,226.25,28905345.0
2018-10-11,233.5,233.5,227.0,227.5,210.95,94589657.0
2018-10-12,231.0,237.0,229.0,237.0,219.76,47175769.0
2018-10-15,234.0,234.0,230.5,230.5,213.73,42168280.0
2018-10-16,229.5,237.0,229.0,237.0,219.76,37818077.0
2018-10-17,241.5,243.0,238.0,238.5,221.15,42494858.0
2018-10-18,238.0,239.0,235.5,236.5,219.3,25676430.0
2018-10-19,231.0,236.5,230.0,236.0,218.83,28358460.0
2018-10-22,232.5,238.0,231.5,237.0,219.76,29275777.0
2018-10-23,232.0,234.0,230.0,230.0,213.27,32827745.0
2018-10-24,230.0,231.0,227.0,229.5,212.81,44321950.0
2018-10-25,220.5,222.0,219.5,219.5,203.53,75524118.0
2018-10-26,223.0,224.0,217.0,221.0,204.92,38439644.0
2018-10-29,223.0,224.0,221.0,222.5,206.31,18463792.0
2018-10-30,221.0,225.0,220.5,223.0,206.78,28877931.0
2018-10-31,228.0,234.0,228.0,234.0,216.98,57283201.0
2018-11-01,236.0,237.0,233.0,235.5,218.37,41974797.0
2018-11-02,236.5,236.5,233.5,236.5,219.3,30722361.0
2018-11-05,233.0,235.5,232.0,235.0,217.91,25452065.0
2018-11-06,234.0,235.5,232.5,234.5,217.44,30468176.0
